iter	Passed	Remaining
0	0	244
1	0	221
2	1	185
3	1	177
4	1	172
5	2	168
6	2	172
7	2	177
8	3	177
9	3	176
10	4	179
11	4	178
12	4	176
13	5	177
14	5	175
15	5	174
16	6	173
17	6	171
18	6	170
19	7	170
20	7	169
21	7	169
22	8	168
23	8	168
24	8	169
25	9	168
26	9	168
27	9	167
28	10	165
29	10	164
30	10	163
31	11	162
32	11	163
33	11	163
34	12	162
35	12	161
36	12	160
37	13	159
38	13	158
39	13	157
40	13	156
41	14	155
42	14	155
43	14	154
44	15	153
45	15	153
46	15	152
47	16	152
48	16	152
49	16	151
50	17	151
51	17	151
52	17	150
53	18	150
54	18	150
55	18	149
56	19	149
57	19	148
58	19	148
59	20	148
60	20	148
61	20	147
62	21	146
63	21	145
64	21	145
65	22	145
66	22	144
67	22	144
68	23	144
69	23	143
70	23	142
71	23	142
72	24	141
73	24	141
74	24	141
75	25	140
76	25	140
77	25	139
78	26	139
79	26	139
80	26	139
81	27	138
82	27	138
83	27	138
84	28	138
85	28	137
86	28	137
87	29	137
88	29	136
89	29	136
90	30	136
91	30	135
92	30	135
93	31	135
94	31	134
95	31	134
96	32	134
97	32	133
98	32	133
99	33	133
100	33	132
101	34	132
102	34	132
103	34	132
104	35	131
105	35	131
106	35	131
107	35	130
108	36	130
109	36	129
110	37	129
111	37	129
112	37	129
113	38	128
114	38	128
115	38	128
116	39	127
117	39	127
118	39	126
119	39	126
120	40	126
121	40	126
122	41	126
123	41	125
124	41	125
125	42	125
126	42	125
127	43	125
128	43	124
129	43	124
130	44	124
131	44	123
132	44	123
133	45	123
134	45	122
135	45	122
136	46	122
137	46	121
138	46	121
139	47	121
140	47	120
141	47	120
142	48	120
143	48	120
144	48	119
145	49	119
146	49	119
147	49	118
148	50	118
149	50	118
150	51	118
151	51	118
152	51	117
153	52	117
154	52	116
155	52	116
156	53	116
157	53	115
158	53	115
159	54	114
160	54	114
161	54	113
162	54	113
163	55	113
164	55	112
165	55	112
166	56	112
167	56	111
168	56	111
169	57	110
170	57	110
171	57	110
172	58	110
173	58	109
174	58	109
175	59	109
176	59	108
177	59	108
178	60	108
179	60	107
180	60	107
181	61	106
182	61	106
183	61	106
184	62	105
185	62	105
186	62	105
187	63	104
188	63	104
189	63	104
190	64	104
191	64	103
192	65	103
193	65	103
194	65	103
195	66	102
196	66	102
197	67	102
198	67	102
199	67	101
200	68	101
201	68	101
202	69	101
203	69	100
204	69	100
205	70	100
206	70	99
207	70	99
208	71	99
209	71	98
210	71	98
211	72	97
212	72	97
213	72	97
214	73	96
215	73	96
216	73	96
217	73	95
218	74	95
219	74	94
220	74	94
221	75	94
222	75	93
223	75	93
224	76	93
225	76	92
226	76	92
227	77	92
228	77	91
229	77	91
230	78	90
231	78	90
232	78	90
233	79	89
234	79	89
235	79	89
236	80	89
237	80	88
238	80	88
239	81	88
240	81	87
241	81	87
242	82	86
243	82	86
244	83	87
245	83	86
246	84	86
247	84	85
248	84	85
249	85	85
250	85	84
251	85	84
252	86	84
253	86	83
254	86	83
255	87	83
256	87	82
257	87	82
258	88	82
259	88	81
260	88	81
261	89	81
262	89	80
263	89	80
264	90	79
265	90	79
266	90	79
267	91	79
268	91	78
269	91	78
270	92	77
271	92	77
272	92	77
273	93	76
274	93	76
275	93	76
276	94	75
277	94	75
278	94	75
279	95	74
280	95	74
281	95	74
282	96	73
283	96	73
284	96	73
285	97	72
286	97	72
287	97	72
288	98	72
289	99	71
290	99	71
291	99	71
292	100	70
293	100	70
294	100	70
295	101	69
296	101	69
297	102	69
298	102	68
299	102	68
300	103	68
301	103	67
302	103	67
303	104	67
304	104	66
305	104	66
306	105	66
307	105	65
308	105	65
309	106	65
310	106	64
311	106	64
312	107	64
313	107	63
314	107	63
315	108	63
316	108	62
317	108	62
318	109	61
319	109	61
320	109	61
321	110	60
322	110	60
323	110	60
324	110	59
325	111	59
326	111	59
327	111	58
328	112	58
329	112	57
330	112	57
331	113	57
332	113	56
333	113	56
334	114	56
335	114	55
336	114	55
337	115	55
338	115	54
339	115	54
340	115	54
341	116	53
342	116	53
343	116	53
344	117	52
345	117	52
346	117	51
347	118	51
348	118	51
349	118	50
350	119	50
351	119	50
352	119	49
353	120	49
354	120	49
355	120	48
356	121	48
357	121	48
358	121	47
359	122	47
360	122	47
361	122	46
362	123	46
363	123	46
364	123	45
365	124	45
366	124	45
367	124	44
368	125	44
369	125	44
370	125	43
371	126	43
372	126	43
373	126	42
374	127	42
375	127	41
376	127	41
377	127	41
378	128	40
379	128	40
380	128	40
381	129	39
382	129	39
383	129	39
384	130	38
385	130	38
386	131	38
387	131	37
388	131	37
389	132	37
390	132	36
391	132	36
392	133	36
393	133	35
394	134	35
395	134	35
396	134	34
397	135	34
398	135	34
399	135	33
400	136	33
401	136	33
402	136	32
403	137	32
404	137	32
405	137	31
406	137	31
407	138	31
408	138	30
409	138	30
410	139	30
411	139	29
412	139	29
413	140	29
414	140	28
415	140	28
416	141	28
417	141	27
418	141	27
419	141	27
420	142	26
421	143	26
422	143	26
423	143	25
424	144	25
425	144	25
426	144	24
427	145	24
428	145	24
429	145	23
430	146	23
431	146	23
432	146	22
433	147	22
434	147	22
435	147	21
436	148	21
437	148	21
438	148	20
439	149	20
440	149	19
441	149	19
442	150	19
443	150	18
444	150	18
445	151	18
446	151	18
447	152	17
448	152	17
449	152	16
450	153	16
451	153	16
452	153	15
453	153	15
454	154	15
455	154	14
456	154	14
457	155	14
458	155	13
459	155	13
460	155	13
461	156	12
462	156	12
463	156	12
464	157	11
465	157	11
466	157	11
467	158	10
468	159	10
469	159	10
470	159	9
471	160	9
472	160	9
473	161	8
474	161	8
475	161	8
476	162	7
477	162	7
478	162	7
479	163	6
480	163	6
481	163	6
482	164	5
483	164	5
484	165	5
485	165	4
486	165	4
487	166	4
488	166	3
489	166	3
490	167	3
491	167	2
492	167	2
493	168	2
494	168	1
495	168	1
496	169	1
497	169	0
498	169	0
499	169	0
