model,fold,accuracy,f1,auc
logistic,1,0.8533333333333334,0.819672131147541,0.9295058139534884
logistic,2,0.76,0.7692307692307693,0.8321428571428571
logistic,3,0.8266666666666667,0.8266666666666667,0.9045584045584045
logistic,4,0.84,0.85,0.9105339105339105
logistic,5,0.8918918918918919,0.8974358974358975,0.9379108838568297
cart,1,0.8266666666666667,0.7936507936507936,0.8208575581395349
cart,2,0.8,0.8051948051948052,0.8017857142857142
cart,3,0.7066666666666667,0.6857142857142857,0.7051282051282052
cart,4,0.8533333333333334,0.8641975308641975,0.8560606060606061
cart,5,0.8378378378378378,0.8378378378378378,0.8378378378378377
c50,1,0.8,0.7692307692307693,0.7976017441860466
c50,2,0.8266666666666667,0.8354430379746836,0.8267857142857142
c50,3,0.7866666666666666,0.7647058823529411,0.7841880341880343
c50,4,0.8666666666666667,0.8809523809523809,0.8647186147186148
c50,5,0.7972972972972973,0.782608695652174,0.7972972972972974
gradient_boosting,1,0.8266666666666667,0.8,0.9113372093023256
gradient_boosting,2,0.8266666666666667,0.8354430379746836,0.885
gradient_boosting,3,0.8,0.8,0.8896011396011396
gradient_boosting,4,0.8266666666666667,0.8354430379746836,0.9494949494949494
gradient_boosting,5,0.9054054054054054,0.9090909090909091,0.9495982468955442
random_forest,1,0.8133333333333334,0.7741935483870968,0.8793604651162791
random_forest,2,0.8133333333333334,0.8205128205128205,0.9
random_forest,3,0.7466666666666667,0.7466666666666667,0.8497150997150996
random_forest,4,0.84,0.85,0.8921356421356421
random_forest,5,0.8918918918918919,0.8947368421052632,0.9306062819576333
extra_trees,1,0.76,0.71875,0.851017441860465
extra_trees,2,0.8266666666666667,0.8433734939759037,0.8817857142857143
extra_trees,3,0.7066666666666667,0.7105263157894737,0.8066239316239315
extra_trees,4,0.8533333333333334,0.8641975308641975,0.8932178932178932
extra_trees,5,0.8648648648648649,0.8648648648648649,0.9134404674945216
hist_gradient_boosting,1,0.84,0.8125,0.880813953488372
hist_gradient_boosting,2,0.84,0.85,0.8928571428571429
hist_gradient_boosting,3,0.7466666666666667,0.759493670886076,0.8226495726495726
hist_gradient_boosting,4,0.8266666666666667,0.8311688311688312,0.9235209235209235
hist_gradient_boosting,5,0.9054054054054054,0.9090909090909091,0.9415631848064281
xgboost,1,0.8266666666666667,0.8,0.8771802325581395
xgboost,2,0.8133333333333334,0.825,0.89
xgboost,3,0.7466666666666667,0.7532467532467533,0.8568376068376069
xgboost,4,0.8266666666666667,0.8311688311688312,0.9083694083694084
xgboost,5,0.8648648648648649,0.868421052631579,0.9327976625273923
catboost,1,0.8,0.7619047619047619,0.8829941860465116
catboost,2,0.8266666666666667,0.8395061728395061,0.8942857142857142
catboost,3,0.7333333333333333,0.7435897435897436,0.8653846153846154
catboost,4,0.8533333333333334,0.8607594936708861,0.9494949494949495
catboost,5,0.8918918918918919,0.8947368421052632,0.9466764061358657
lightgbm,1,0.76,0.71875,0.8902616279069767
lightgbm,2,0.8266666666666667,0.8354430379746836,0.8914285714285715
lightgbm,3,0.7466666666666667,0.759493670886076,0.8262108262108261
lightgbm,4,0.84,0.8461538461538461,0.9126984126984127
lightgbm,5,0.8783783783783784,0.8831168831168831,0.9554419284149014
mlp,1,0.8133333333333334,0.7941176470588235,0.8822674418604651
mlp,2,0.8266666666666667,0.8354430379746836,0.8657142857142858
mlp,3,0.7733333333333333,0.7901234567901234,0.8212250712250713
mlp,4,0.8266666666666667,0.8311688311688312,0.9393939393939394
mlp,5,0.9324324324324325,0.935064935064935,0.941563184806428
tab_cnn,1,0.9066666666666666,0.8813559322033898,0.9258720930232558
tab_cnn,2,0.7466666666666667,0.7532467532467533,0.8242857142857143
tab_cnn,3,0.8,0.810126582278481,0.8311965811965811
tab_cnn,4,0.76,0.7567567567567568,0.8564213564213564
tab_cnn,5,0.8378378378378378,0.8378378378378378,0.91672753834916
ft_transformer,1,0.76,0.7352941176470589,0.8372093023255814
ft_transformer,2,0.76,0.7567567567567568,0.8635714285714287
ft_transformer,3,0.64,0.64,0.7720797720797721
ft_transformer,4,0.84,0.8461538461538461,0.8874458874458874
ft_transformer,5,0.8378378378378378,0.8333333333333334,0.929145361577794
saint,1,0.7733333333333333,0.746268656716418,0.8459302325581395
saint,2,0.8133333333333334,0.825,0.8614285714285714
saint,3,0.7333333333333333,0.7297297297297297,0.7998575498575499
saint,4,0.8533333333333334,0.8641975308641975,0.8975468975468975
saint,5,0.8513513513513513,0.8571428571428571,0.9349890430971513
deep_gbm,1,0.8266666666666667,0.7936507936507936,0.8848110465116279
deep_gbm,2,0.8266666666666667,0.8311688311688312,0.8964285714285715
deep_gbm,3,0.7333333333333333,0.75,0.8162393162393162
deep_gbm,4,0.8533333333333334,0.8607594936708861,0.9199134199134199
deep_gbm,5,0.8783783783783784,0.88,0.9306062819576334
tabnet,1,0.7466666666666667,0.7397260273972602,0.872093023255814
tabnet,2,0.6933333333333334,0.7160493827160493,0.8171428571428572
tabnet,3,0.8,0.8051948051948052,0.8810541310541311
tabnet,4,0.84,0.8571428571428571,0.9199134199134199
tabnet,5,0.8378378378378378,0.85,0.8897005113221329
