model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
c50,0.815459,0.032193,0.806588,0.050218,0.814118,0.032297
cart,0.804901,0.058263,0.797319,0.068274,0.804334,0.05899
catboost,0.821045,0.059644,0.820099,0.064886,0.907767,0.038232
deep_gbm,0.823676,0.05489,0.823116,0.052278,0.8896,0.044866
extra_trees,0.802306,0.067171,0.800342,0.078766,0.869217,0.04165
ft_transformer,0.767568,0.081505,0.762308,0.083358,0.85789,0.058682
gradient_boosting,0.837081,0.039902,0.835995,0.044539,0.917006,0.031326
hist_gradient_boosting,0.831748,0.056627,0.832451,0.054553,0.892281,0.045785
lightgbm,0.810342,0.055597,0.808591,0.067394,0.895208,0.046726
logistic,0.834378,0.048193,0.832601,0.046702,0.90293,0.041837
mlp,0.834486,0.058955,0.837184,0.058501,0.890033,0.051181
random_forest,0.821045,0.052511,0.817222,0.058998,0.890363,0.029533
saint,0.804937,0.051703,0.804468,0.062723,0.86795,0.051318
tab_cnn,0.810234,0.064673,0.807865,0.054543,0.870901,0.047647
tabnet,0.783568,0.063055,0.793623,0.063776,0.875981,0.037487
xgboost,0.81564,0.043096,0.815567,0.04258,0.893037,0.029099
