feature,importance_mean,importance_std
Deposition time [min],1.0881272999700649,0.13286502215911844
Current density [A/dm²],0.184007116447961,0.035979922297408214
Additive [mL/L],0.07970638567482433,0.017801094591526383
Temperature [°C],0.06441051502838628,0.016197962531791555
Nickel [mg/L],0.05391574398218328,0.038409132893631334
Chromium [g/L],0.04616199949759734,0.0052119933197634655
Gloss Nickel layer [%],0.031312319165703165,0.030307734442039058
Bath age [Ah/L],0.0312966324814344,0.0071933263229043524
pH,0.0307951617989221,0.007114557895898799
Copper [mg/L],0.018779058573289254,0.0031964713033458187
Iron [mg/L],0.016757246547296357,0.002955884620823124
Last reactivation [days],0.01637364185278416,0.008483718796275148
Supporting electrolyte [g/L],0.015577598179926344,0.00533274734713583
Brigthener [mL/L],0.01364305863296773,0.005245041160713221
Complexing agent [mL/L],0.013268231294143451,0.006404107094338031
Anode Area [dm²],0.010317749623849704,0.005477553855487173
Service life [days],0.010128654472446107,0.002952261161121389
Buffer [g/L],0.010000103167694018,0.003041262372202971
Sample Area [dm²],0.006805313895180243,0.0032831538151640465
Volume [L],0.002035448575467158,0.002235151250874919
