model,mean_cv_rmse,std_cv_rmse,data_source
catboost,0.09088157124747565,0.010130518834884576,aug
xgboost,0.09493195482491364,0.009210227719164337,aug
tab_cnn,0.0957391666720728,0.010137235195942642,orig
hist_gradient_boosting,0.09665216711181338,0.007697526287738885,orig
mlp,0.09695426370956252,0.01111044430048166,orig
gradient_boosting,0.09700768267025948,0.008637493765909532,aug
extra_trees,0.09777138528964101,0.009928946414227292,aug
ft_transformer,0.09845109452214693,0.012018801255874748,aug
deep_gbm,0.10003642933381451,0.0065324675556598264,aug
svr,0.10022729592314805,0.01948778322932759,orig
lightgbm,0.10142583576051298,0.00979173645099692,orig
saint,0.10274883013188658,0.006944500454487891,aug
random_forest,0.10393144466395561,0.010370197121390916,orig
ridge,0.10548653122710841,0.013355808257653791,orig
elasticnet,0.10548742528678354,0.013354071867387093,orig
cart,0.11528635835525765,0.020236259394668304,orig
tabnet,0.13273137933659224,0.016845779517708156,orig
