feature,mean_abs_shap,std_abs_shap
Deposition time [min],0.23928943358292903,0.014830495867757584
Additive [mL/L],0.06452361295368012,0.010106969026698784
Temperature [°C],0.05444531806138377,0.010245776044794206
Current density [A/dm²],0.03694848725887339,0.013898195973346914
pH,0.01561697485982666,0.0013524635737713728
Chromium [g/L],0.01537336795149848,0.003552421945609482
Copper [mg/L],0.013850724994734814,0.0019114087708882476
Bath age [Ah/L],0.010355550059836214,0.0015824004069747185
Buffer [g/L],0.010215921304647279,0.0021962204666716822
Service life [days],0.0099687291043389,0.002280120269492937
Complexing agent [mL/L],0.008781317583133646,0.0013388437347280925
Supporting electrolyte [g/L],0.006883187584380437,0.0017594582193214872
Nickel [mg/L],0.0066771827036827425,0.001147846218074867
Iron [mg/L],0.006454105489680543,0.0009876615314363655
Last reactivation [days],0.006317631943368042,0.0008735321793112572
Gloss Nickel layer [%],0.005970036095792013,0.0006526997350588265
Brigthener [mL/L],0.005660692245871772,0.0009890302178122887
Anode Area [dm²],0.004807010126571254,0.0016860835185733185
Sample Area [dm²],0.0037453186332161827,0.0008064591693466662
Volume [L],0.003409230394152107,0.0006772284236275071
