feature,mean_abs_shap,std_abs_shap
Deposition time [min],0.09854190108760238,0.0021686586281599936
Current density [A/dm²],0.020522838253952024,0.006279788153944996
Additive [mL/L],0.019060520824810235,0.0035378871279666863
Temperature [°C],0.0168220219863692,0.0014399250504646425
Bath age [Ah/L],0.011613120560609574,0.001860896182721016
Chromium [g/L],0.010620045364517014,0.0011688838590792501
Nickel [mg/L],0.008955390254182797,0.001702195816666065
pH,0.0064518241516163975,0.0006225860367167014
Last reactivation [days],0.0055706776285254795,0.0006591912024704076
Copper [mg/L],0.004294497151574284,0.0004532341590320881
Gloss Nickel layer [%],0.004055439240658898,0.0007272225931700642
Brigthener [mL/L],0.003747485445564703,0.0006234400736279393
Anode Area [dm²],0.00333950270066389,0.0010014451988463258
Iron [mg/L],0.0032912348534229604,0.0005334790784798409
Supporting electrolyte [g/L],0.0027311835708228116,0.0005343849137858667
Complexing agent [mL/L],0.002633026485253923,0.0008879375836203754
Buffer [g/L],0.0024704047399064163,0.0006432326616566944
Volume [L],0.0018092880328252309,0.0003678758894013869
Service life [days],0.0017020104674812923,0.00025775168906295054
Sample Area [dm²],0.0016406069930129485,0.0004982574562247518
